NUMBER	ENGLISH	SPANISH
1	I	yo
2	all	todos
3	animal	animal
4	ashes	ceniza
5	back [of body]	espalda
6	bad	malo
7	bark [of tree]	corteza
8	belly	barriga
9	big	grande
10	bird	pajaro
11	bite	morder
12	black	negro
13	blood	sangre
14	blow [wind]	soplar
15	bone	hueso
16	breathe	respirar
17	burn [tr. v.]	quemar
18	child	niño
19	cloud	nube
20	cold [weather]	frio
21	come	venir
22	count [verb]	contar
23	cut [verb]	cortar
24	day [daytime]	dia (de dia)
25	die	morir
26	dig	cavar escarbar
27	dirty	sucio
28	dog	perro
29	drink [verb]	beber tomar
30	dry [adj./v.]	seco
31	dull [knife]	desafilado embotado
32	dust	polvo
33	ear	oreja
34	earth [soil]	tierra
35	eat	comer
36	egg	huevo
37	eye	ojo
38	fall [drop]	caer(-se)
39	far	lejos
40	fat (grease)	grasa
41	father	padre
42	fear [verb]	temer
43	feather [large]	pluma
44	few	pocos
45	fight	pelear luchar
46	fire	fuego
47	fish [noun]	pez pescado
48	float	flotar rebalsar
49	flow	fluir
50	flower	flor
51	fly [verb]	volar
52	fog	neblina
53	foot	pie
54	fruit (berry)	fruta
55	give	dar
56	good	bueno
57	grass	hierba
58	green [color]	verde
59	guts	tripas intestinos
60	hair	cabello pelo
61	hand	mano
62	he	el
63	head	cabeza
64	hear	oir
65	heart	corazon
66	heavy	pesado
67	here	aqui aca
68	hit	golpear pegar
69	hold [in hand]	agarrar sostener
70	how [interr.]	como
71	hunt	cazar
72	husband	esposo marido
73	kill	matar
74	know [facts]	saber
75	lake	lago
76	laugh	reir
77	leaf	hoja
78	leg	pierna
79	lie [be lying down]	echar(-se)
80	live	vivir
81	liver	higado
82	long	largo
83	louse	piojo
84	man [male]	hombre
85	many	muchos
86	meat (flesh)	carne
87	mother	madre
88	mountain	montaña (hill = cerro loma)
89	mouth	boca
90	name	nombre
91	narrow	angosto estrecho
92	near	cerca
93	neck	cuello
94	new	nuevo
95	night	noche
96	nose	nariz
97	old [adj.]	viejo
98	one	uno
99	other	otro
100	person (human)	persona
101	play	jugar
102	pull	jalar
103	push	empujar
104	rain	lluvia
105	red	rojo
106	river	rio
107	road (path)	carretera (camino trocha sendero)
108	root	raiz
109	rope (cord)	cuerda soga
110	rotten [log]	podrido
111	rub	sobar frotar
112	salt	sal
113	sand	arena
114	say	decir
115	scratch [an itch]	rascar
116	see	ver
117	seed	semilla
118	sew	coser
119	sharp [knife]	filudo filoso
120	short	corto bajo (vertical)
121	sing	cantar
122	sit	sentar(-se)
123	skin [of person]	piel
124	sky	cielo
125	sleep	dormir
126	small	pequeño
127	smell [tr. v.]	oler
128	smoke [noun]	humo
129	smooth	liso
130	snake	culebra
131	some	algunos
132	spit [verb]	escupir
133	split	partir hender
134	squeeze	apretar
135	stab [or pierce]	penetrar (perforando)
136	stand	parar(-se)
137	star	estrella
138	stick [of wood]	palo
139	stone	piedra
140	straight	recto derecho
141	suck	chupar
142	sun	sol
143	swell	hinchar
144	swim	nadar
145	tail	rabo cola
146	they	ellos
147	thick	grueso
148	thin	delgado
149	think	pensar
150	this	este
151	thou [you]	usted tu
152	throw	tirar lanzar
153	tie [verb]	atar amarrar
154	tongue	lengua
155	tooth [front]	diente
156	tree	arbol
157	turn [intr. v.]	voltear(se) girar
158	two	dos
159	vomit [verb]	vomitar
160	walk	caminar andar (more general)
161	warm (hot weather)	caliente
162	wash	lavar
163	water	agua
164	we	nosotros
165	wet	mojado
166	what [interr.]	que
167	when [interr.]	cuando
168	where [interr.]	donde
169	white	blanco
170	who [interr.]	quien
171	wide	ancho
172	wife	esposa
173	wind [breeze]	viento
174	wing	ala
175	wipe	limpiar enjugar
176	woman	mujer
177	woods (forest)	bosque (= monte in Peru)
178	worm (i.e. earthworm)	lombriz (gusano = grub)
179	ye [you all]	ustedes vosotros
180	year	año
181	yellow	amarillo
182	ɨ	yo
